condition	surface	medium	temperature	relative_humidity_pct	strain	halflife_wet_median	halflife_wet_q025	halflife_wet_q975	halflife_wet_formatted	halflife_wet_median_minutes	halflife_wet_q025_minutes	halflife_wet_q975_minutes	halflife_wet_formatted_minutes	halflife_dry_median	halflife_dry_q025	halflife_dry_q975	halflife_dry_formatted	halflife_dry_median_minutes	halflife_dry_q025_minutes	halflife_dry_q975_minutes	halflife_dry_formatted_minutes
SS_21-23°C/40%_2022	stainless_steel	DMEM	21.0	40.0	2022	1.7024425546836366	0.661523641039228	10.546295291382217	1.70 [0.66, 10.55]	2451.5172787444367	952.5940430964883	15186.665219590393	2451.52 [952.59, 15186.67]	0.2879337503496322	0.19508350321464288	0.41689044551566196	0.29 [0.20, 0.42]	414.6246005034704	280.92024462908574	600.3222415425532	414.62 [280.92, 600.32]
SS_21°C/45%_2003	stainless_steel	DMEM	21.0	45.0	2003	2.5452693028728635	0.920379539168135	12.996568287076549	2.55 [0.92, 13.00]	3665.187796136923	1325.3465364021142	18715.058333390232	3665.19 [1325.35, 18715.06]	0.4600376692527861	0.28310472603958725	0.7770045181698991	0.46 [0.28, 0.78]	662.454243724012	407.67080549700563	1118.8865061646547	662.45 [407.67, 1118.89]
SS_28°C/65%_2003	stainless_steel	DMEM	28.0	65.0	2003	0.120469044565964	0.06444715183965523	0.28504964936325333	0.12 [0.06, 0.29]	173.47542417498818	92.80389864910353	410.47149508308485	173.48 [92.80, 410.47]	0.04233498146416351	0.003603018768061347	0.16209514150767407	0.04 [0.00, 0.16]	60.96237330839545	5.18834702600834	233.41700377105064	60.96 [5.19, 233.42]
SS_28°C/65%_2022	stainless_steel	DMEM	28.0	65.0	2022	0.7975080913274228	0.395902038560012	2.5555608270152663	0.80 [0.40, 2.56]	1148.4116515114888	570.0989355264172	3680.0075909019833	1148.41 [570.10, 3680.01]	0.05613006908465744	0.010455467806979802	0.1432577241508096	0.06 [0.01, 0.14]	80.8272994819067	15.055873642050916	206.2911227771658	80.83 [15.06, 206.29]
SS_4°C/40%_2022	stainless_steel	DMEM	4.0	40.0	2022	4.629002729989232	2.1147430489870183	16.731468034355334	4.63 [2.11, 16.73]	6665.763931184492	3045.2299905413065	24093.31396947168	6665.76 [3045.23, 24093.31]	0.3100398060458106	0.09777934797455712	0.5168658311146614	0.31 [0.10, 0.52]	446.4573207059673	140.80226108336225	744.2867968051124	446.46 [140.80, 744.29]
SS_4°C/45%_2003	stainless_steel	DMEM	4.0	45.0	2003	2.034140970003784	0.9487125222594532	5.755038989879021	2.03 [0.95, 5.76]	2929.1629968054485	1366.1460320536128	8287.25614542579	2929.16 [1366.15, 8287.26]	0.08561325808194559	0.016890462434993363	0.21664176537172158	0.09 [0.02, 0.22]	123.28309163800162	24.32226590639044	311.9641421352791	123.28 [24.32, 311.96]
Saliva_surface_2022	polypropylene_plastic	Saliva			2022	1.9376897774183626	0.7051749681292818	8.586066906895214	1.94 [0.71, 8.59]	2790.2732794824424	1015.4519541061657	12363.936345929109	2790.27 [1015.45, 12363.94]	0.15855103820883348	0.04697625052106387	0.24252331041178166	0.16 [0.05, 0.24]	228.31349502072018	67.64580075033197	349.23356699296556	228.31 [67.65, 349.23]
Semen_surface_2022	polypropylene_plastic	Semen			2022	7.555141648623772	4.205302766992122	37.041047567454946	7.56 [4.21, 37.04]	10879.403974018232	6055.635984468655	53339.10849713512	10879.40 [6055.64, 53339.11]	4.448130852686164	3.319773554148302	7.091329177413387	4.45 [3.32, 7.09]	6405.308427868078	4780.473917973555	10211.514015475279	6405.31 [4780.47, 10211.51]
Serum_surface_2022	polypropylene_plastic	Serum			2022	1.7439292727813462	1.2253146741471588	6.69123007347621	1.74 [1.23, 6.69]	2511.2581528051387	1764.4531307719087	9635.371305805744	2511.26 [1764.45, 9635.37]	1.3212441284140901	1.0144934818936613	1.8300996432067114	1.32 [1.01, 1.83]	1902.5915449162896	1460.8706139268722	2635.343486217664	1902.59 [1460.87, 2635.34]
Urine_surface_2022	polypropylene_plastic	Urine			2022	0.7661073155710849	0.3148114883210512	3.7996531897602113	0.77 [0.31, 3.80]	1103.1945344223623	453.32854318231375	5471.500593254705	1103.19 [453.33, 5471.50]	0.11524483884049333	0.038609199096841844	0.23561624508669432	0.12 [0.04, 0.24]	165.95256793031038	55.59724669945225	339.2873929248398	165.95 [55.60, 339.29]
