titer_id	condition	timepoint	replicate	plaque_count	strain	fold_dilution	log10_dilution	surface	temperature	relative_humidity_pct	medium	medium_state	concentration_pct	chlorine_concentration_ppm	well_volume_ml	intercept_condition	timeseries_id
813	di_water_control_2022	0.010416666666666666	2	49	2022	10000	-4.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_2
814	di_water_control_2022	0.010416666666666666	3	17	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_3
815	di_water_control_2022	0.020833333333333332	1	21	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_1
816	di_water_control_2022	0.020833333333333332	2	20	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_2
817	di_water_control_2022	0.020833333333333332	3	21	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_3
818	di_water_control_2022	0.041666666666666664	1	90	2022	100	-2.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_1
819	di_water_control_2022	0.041666666666666664	2	59	2022	100	-2.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_2
820	di_water_control_2022	0.041666666666666664	3	94	2022	100	-2.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_3
821	di_water_control_2022	0.08333333333333333	1	14	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_1
822	di_water_control_2022	0.08333333333333333	2	13	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_2
823	di_water_control_2022	0.08333333333333333	3	16	2022	1000	-3.0				di_water	liquid		0.0	1.0	di_water_control_2022_short_experiment	di_water_control_2022_short_experiment_3
824	di_water_control_2022	1.0	1	14	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
825	di_water_control_2022	1.0	2	12	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
826	di_water_control_2022	1.0	3	13	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
827	di_water_control_2022	3.0	1	12	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
828	di_water_control_2022	3.0	2	13	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
829	di_water_control_2022	3.0	3	12	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
830	di_water_control_2022	5.0	1	6	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
831	di_water_control_2022	5.0	2	7	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
832	di_water_control_2022	5.0	3	14	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
833	di_water_control_2022	7.0	1	12	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
834	di_water_control_2022	7.0	2	13	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
835	di_water_control_2022	7.0	3	9	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
836	di_water_control_2022	10.0	1	14	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
837	di_water_control_2022	10.0	2	7	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
838	di_water_control_2022	10.0	3	9	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
839	di_water_control_2022	15.0	1	8	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
840	di_water_control_2022	15.0	2	10	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
841	di_water_control_2022	15.0	3	13	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
842	di_water_control_2022	20.0	1	8	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_1
843	di_water_control_2022	20.0	2	11	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_2
844	di_water_control_2022	20.0	3	6	2022	10	-1.0				di_water	liquid		0.0	0.25	di_water_control_2022_long_experiment	di_water_control_2022_long_experiment_3
845	wastewater_1.0_2022	0.0	1	15	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
846	wastewater_1.0_2022	0.0	2	20	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
847	wastewater_1.0_2022	0.0	3	22	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
848	wastewater_1.0_2022	0.0002291666666666667	1	9	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
849	wastewater_1.0_2022	0.0002291666666666667	2	21	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
850	wastewater_1.0_2022	0.0002291666666666667	3	14	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
851	wastewater_1.0_2022	0.0006944444444444445	1	18	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
852	wastewater_1.0_2022	0.0006944444444444445	2	16	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
853	wastewater_1.0_2022	0.0006944444444444445	3	20	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
854	wastewater_1.0_2022	0.003472222222222222	1	10	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
855	wastewater_1.0_2022	0.003472222222222222	2	12	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
856	wastewater_1.0_2022	0.003472222222222222	3	20	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
857	wastewater_1.0_2022	0.010416666666666666	1	92	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
858	wastewater_1.0_2022	0.010416666666666666	2	93	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
859	wastewater_1.0_2022	0.010416666666666666	3	13	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
860	wastewater_1.0_2022	0.020833333333333332	1	9	2022	1000	-3.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
861	wastewater_1.0_2022	0.020833333333333332	2	70	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
862	wastewater_1.0_2022	0.020833333333333332	3	69	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
863	wastewater_1.0_2022	0.041666666666666664	1	32	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
864	wastewater_1.0_2022	0.041666666666666664	2	41	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
865	wastewater_1.0_2022	0.041666666666666664	3	38	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
866	wastewater_1.0_2022	0.08333333333333333	1	27	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_1
867	wastewater_1.0_2022	0.08333333333333333	2	23	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_2
868	wastewater_1.0_2022	0.08333333333333333	3	32	2022	100	-2.0				wastewater	liquid		1.0	1.0	wastewater_1.0_2022	wastewater_1.0_2022_3
869	wastewater_10.0_2022	0.0	1	26	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
870	wastewater_10.0_2022	0.0	2	16	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
871	wastewater_10.0_2022	0.0	3	17	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
872	wastewater_10.0_2022	0.0002291666666666667	1	18	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
873	wastewater_10.0_2022	0.0002291666666666667	2	13	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
874	wastewater_10.0_2022	0.0002291666666666667	3	14	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
875	wastewater_10.0_2022	0.0006944444444444445	1	14	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
876	wastewater_10.0_2022	0.0006944444444444445	2	18	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
877	wastewater_10.0_2022	0.0006944444444444445	3	84	2022	100	-2.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
878	wastewater_10.0_2022	0.003472222222222222	1	14	2022	100	-2.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
879	wastewater_10.0_2022	0.003472222222222222	2	111	2022	10	-1.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
880	wastewater_10.0_2022	0.003472222222222222	3	7	2022	100	-2.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
881	wastewater_10.0_2022	0.010416666666666666	1	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
882	wastewater_10.0_2022	0.010416666666666666	2	1	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
883	wastewater_10.0_2022	0.010416666666666666	3	1	2022	1000	-3.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
884	wastewater_10.0_2022	0.020833333333333332	1	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
885	wastewater_10.0_2022	0.020833333333333332	2	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
886	wastewater_10.0_2022	0.020833333333333332	3	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
887	wastewater_10.0_2022	0.041666666666666664	1	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
888	wastewater_10.0_2022	0.041666666666666664	2	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
889	wastewater_10.0_2022	0.041666666666666664	3	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
890	wastewater_10.0_2022	0.08333333333333333	1	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_1
891	wastewater_10.0_2022	0.08333333333333333	2	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_2
892	wastewater_10.0_2022	0.08333333333333333	3	0	2022	1	0.0				wastewater	liquid		10.0	1.0	wastewater_10.0_2022	wastewater_10.0_2022_3
893	wastewater_5.0_2022	0.0	1	19	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
894	wastewater_5.0_2022	0.0	2	17	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
895	wastewater_5.0_2022	0.0	3	22	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
896	wastewater_5.0_2022	0.0002291666666666667	1	19	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
897	wastewater_5.0_2022	0.0002291666666666667	2	15	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
898	wastewater_5.0_2022	0.0002291666666666667	3	19	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
899	wastewater_5.0_2022	0.0006944444444444445	1	12	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
900	wastewater_5.0_2022	0.0006944444444444445	2	15	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
901	wastewater_5.0_2022	0.0006944444444444445	3	7	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
902	wastewater_5.0_2022	0.003472222222222222	1	100	2022	100	-2.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
903	wastewater_5.0_2022	0.003472222222222222	2	46	2022	100	-2.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
904	wastewater_5.0_2022	0.003472222222222222	3	45	2022	100	-2.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
905	wastewater_5.0_2022	0.010416666666666666	1	5	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
906	wastewater_5.0_2022	0.010416666666666666	2	33	2022	100	-2.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
907	wastewater_5.0_2022	0.010416666666666666	3	1	2022	1000	-3.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
908	wastewater_5.0_2022	0.020833333333333332	2	12	2022	10	-1.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
909	wastewater_5.0_2022	0.020833333333333332	3	2	2022	10	-1.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
910	wastewater_5.0_2022	0.041666666666666664	1	3	2022	100	-2.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
911	wastewater_5.0_2022	0.041666666666666664	2	1	2022	10	-1.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
912	wastewater_5.0_2022	0.041666666666666664	3	0	2022	1	0.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
913	wastewater_5.0_2022	0.08333333333333333	1	6	2022	10	-1.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_1
914	wastewater_5.0_2022	0.08333333333333333	2	0	2022	1	0.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_2
915	wastewater_5.0_2022	0.08333333333333333	3	0	2022	1	0.0				wastewater	liquid		5.0	1.0	wastewater_5.0_2022	wastewater_5.0_2022_3
916	wastewater_control_2022	0.0	1	6	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
917	wastewater_control_2022	0.0	2	11	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
918	wastewater_control_2022	0.0	3	9	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
919	wastewater_control_2022	0.0	1	19	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
920	wastewater_control_2022	0.0	2	19	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
921	wastewater_control_2022	0.0	3	14	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
922	wastewater_control_2022	0.0002291666666666667	1	127	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
923	wastewater_control_2022	0.0002291666666666667	2	22	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
924	wastewater_control_2022	0.0002291666666666667	3	13	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
925	wastewater_control_2022	0.0006944444444444445	1	24	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
926	wastewater_control_2022	0.0006944444444444445	2	18	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
927	wastewater_control_2022	0.0006944444444444445	3	21	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
928	wastewater_control_2022	0.003472222222222222	1	17	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
929	wastewater_control_2022	0.003472222222222222	2	26	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
930	wastewater_control_2022	0.003472222222222222	3	14	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
931	wastewater_control_2022	0.010416666666666666	1	13	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
932	wastewater_control_2022	0.010416666666666666	2	6	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
933	wastewater_control_2022	0.010416666666666666	3	15	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
934	wastewater_control_2022	0.020833333333333332	1	15	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
935	wastewater_control_2022	0.020833333333333332	2	14	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
936	wastewater_control_2022	0.020833333333333332	3	11	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
937	wastewater_control_2022	0.041666666666666664	1	10	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
938	wastewater_control_2022	0.041666666666666664	2	11	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
939	wastewater_control_2022	0.041666666666666664	3	10	2022	1000	-3.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
940	wastewater_control_2022	0.08333333333333333	1	70	2022	100	-2.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_1
941	wastewater_control_2022	0.08333333333333333	2	60	2022	100	-2.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_2
942	wastewater_control_2022	0.08333333333333333	3	56	2022	100	-2.0				wastewater	liquid		0.0	1.0	wastewater_control_2022_short_experiment	wastewater_control_2022_short_experiment_3
943	wastewater_control_2022	1.0	1	12	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
944	wastewater_control_2022	1.0	2	10	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
945	wastewater_control_2022	1.0	3	7	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
946	wastewater_control_2022	3.0	1	12	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
947	wastewater_control_2022	3.0	2	14	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
948	wastewater_control_2022	3.0	3	11	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
949	wastewater_control_2022	5.0	1	10	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
950	wastewater_control_2022	5.0	2	12	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
951	wastewater_control_2022	5.0	3	13	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
952	wastewater_control_2022	7.0	1	10	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
953	wastewater_control_2022	7.0	2	6	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
954	wastewater_control_2022	7.0	3	5	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
955	wastewater_control_2022	10.0	1	5	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
956	wastewater_control_2022	10.0	2	4	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
957	wastewater_control_2022	10.0	3	7	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
958	wastewater_control_2022	15.0	1	5	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
959	wastewater_control_2022	15.0	2	4	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
960	wastewater_control_2022	15.0	3	4	2022	10	-1.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
961	wastewater_control_2022	20.0	1	7	2022	1	0.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_1
962	wastewater_control_2022	20.0	2	9	2022	1	0.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_2
963	wastewater_control_2022	20.0	3	6	2022	1	0.0				wastewater	liquid		0.0	0.25	wastewater_control_2022_long_experiment	wastewater_control_2022_long_experiment_3
